Title,Genre
Harry Potter And The Deathly Hallows: Part 2,"Fantasy, Family Battle-Of-Hogwarts Final-Showdown Wand-Mastery Coming-Of-Age Wizard-Epic Ending"
Zindagi Na Milegi Dobara,"Drama, Bollywood Bachelor-Roadtrip Spain-Tourism Friendship-Conflict Extreme-Sports Coming-Of-Age Romance-Comedy"
Captain America: The First Avenger,"Action, Superhero World-War-II Super-Soldier Hydra Red-Skull Period-Sci-Fi Origin Avenger-Setup"
Singham,"Action, Bollywood Honest-Cop Village-Justice Extortion-Mafia Single-Screen Police-Pride Masala"
Jinhe Mera Dil Luteya,"Comedy, Punjabi Regional Romantic-Triangle Two-Brothers UK-Setting Slapstick Village-Rich"
Naruto Shippuden The Movie Blood Prison,"Anime, Shonen Action Incarceration False-Accusation Box-Of-Paradise Secret-Jutsu Survival-Thriller"
Naruto Shippuden Chunin Exam Of Fire Naruto Vs Konohamru,"Anime, Shonen Short Action Exam-Tournament Sage-Mode Rivalry Special"
Rise Of The Planet Of The Apes,"Sci-Fi, Action Laboratory-Escape Primate-Intelligence Simian-Flu Rebellion Origin-Thriller"
Final Destination 5,"Horror, Supernatural Suspension-Bridge-Disaster Prequel-Twist Slasher-Logic Surgical-Gore Thriller"
Men In Hope,"Comedy, International Romance Marital-Infidelity Advice Sex-Farce Relationships Drama"
Bodyguard,"Action, Bollywood Romance Secret-Identity Campus-Guard Phone-Love Melodrama Masala"
Yaar Anmulle,"Comedy, Punjabi Regional Hostel-Life Three-Friends College-Romance Rural-Urban-Divide Coming-Of-Age"
Johnny English Reborn,"Comedy, Spy Parody Secret-Agent Martial-Arts Tibetan-Monastery Hong-Kong-Conspiracy Action"
Ra One,"Action, Bollywood Sci-Fi Virtual-Reality Video-Game-Villain Superhero Father-Son Special-Effects"
Puss In Boots,"Animation, Family Fairy-Tale Spinoff Goose-Golden-Egg Thieves Shrek-Universe Action-Comedy"
Lanka,"Drama, Bollywood Modern-Ramayana Captivity Local-Don Moral-Awakening Thriller Relationship"
Small Fry,"Animation, Family Support-Group Short-Comedy Toy-Replacement Fast-Food-Toy"
Ice Age: A Mammoth Christmas Special,"Animation, Family Holiday Santa-North-Pole Decoration-Destruction Prehistoric Short"
Desi Boyz,"Comedy, Bollywood Male-Strippers Economic-Crisis Friendship UK-Setting College-Tuition Romance-Drama"
The Dirty Picture,"Drama, Bollywood Silk-Smitha-Biopic Cinema-Industry Rise-And-Fall Female-Empowerment Erotic-Drama Tragedy"
Ladies Vs Ricky Bahl,"Comedy, Bollywood Con-Artist Revenge-Plot Romance Goa-Setting Metro-Lifestyle Romance-Comedy"
Kung Fu Panda: Secrets Of The Masters,"Animation, Family Martial-Arts Prequel Masters-Origins Backstory Short-Anthology"
Saghi Phul,"Drama, Punjabi Regional Folk-Lore Tragedy Romance Period-Drama Culture-Traditions"
Pappu Cant Dance Sala,"Comedy, Bollywood Mumbai-Struggle Cultural-Clash Dancer Roommates Romance-Drama"
Mission: Impossible - Ghost Protocol,"Action, Spy Dubai-Burj Kremlin-Bombing Rogue-Team Nuclear-Launch Thriller-Spectacle"
Tangled Ever After,"Animation, Family Wedding-Ring-Chase Animal-Mayhem Short-Slapstick Sequel"
Agneepath,"Action, Bollywood Revenge Mandwa-Island Drugs-Mafia Tragic-Hero Violent-Drama Masala Remake"
The Lorax,"Animation, Family Dr-Seuss Environmentalism Corporate-Greed Truffula-Trees Musical-Fable"
Paan Singh Tomar,"Drama, Bollywood Army-Athlete Rebel-Dacoit Chambal-Valley Biographical Real-Life Justice-System Crime"
Burrahh,"Comedy, Punjabi Regional College-Campus Youth-Aspirations Friendship Romance Musical-Comedy Bhangra"
Housefull 2,"Comedy, Bollywood Fathers-Rivalry Wrong-Grooms Island-Mansion Slapstick-Farce Multistar-Chaos Ensemble"
Vicky Donor,"Comedy, Bollywood Sperm-Donation Taboo-Topic Intercaste-Marriage Delhi-Culture Social-Message Romance-Drama"
Pinky Moge Wali,"Comedy, Punjabi Regional Village-Girl Modern-Aspirations Marriage-Mixup Romance Culture-Comedy Drama"
The Avengers,"Action, Superhero Alien-Invasion New-York-Battle Team-Up S H I E L D Marvel-Universe Epic-Blockbuster"
Ishqzaade,"Drama, Bollywood Political-Feud Honor-Killing Interreligious-Romance Small-Town Violence Tragic-Romance"
Rowdy Rathore,"Action, Bollywood Double-Role Local-Goon Village-Tyrant Cop-Revenge Southern-Remake Masala"
Madagascar 3: Europe'S Most Wanted,"Animation, Family Circus Animal-Control Europe-Chase Neon-Spectacle Comedy-Adventure"
Piranha 3Dd,"Horror, Gore Waterpark Creature-Feature Campy Exploitation Sequel Comedy-Thriller"
Ferrari Ki Sawaari,"Comedy, Bollywood Father-Son Cricket-Dream Lord'S-Stadium Theft Family-Emotional Drama"
Brave,"Animation, Family Scottish-Mythology Mother-Bear Transformation Archery Disney-Princess Drama-Fantasy"
Gangs Of Wasseypur,"Crime, Bollywood Coal-Mafia Generational-Feud Revenge-Epic Bihari-Locality Gritty-Drama Real-History"
Jatt & Juliet,"Comedy, Punjabi Regional Canada-Immigration Opposites-Attract Airline-Job Romance-Comedy Blockbuster-Formula"
The Amazing Spider-Man,"Action, Superhero Reboot Lizard-Mutation Oscorp Gwen-Stacy Origin-Update Sci-Fi"
Ice Age: Continental Drift,"Animation, Family Continental-Split Pirate-Ship Prehistoric Ocean-Adventure Family-Reunion Comedy"
Cocktail,"Drama, Bollywood Love-Triangle London-NRIs Friendship-Betrayal Party-Lifestyle Melodrama Romance-Comedy"
Ishq Na Hove Rabba,"Drama, Punjabi Regional Romantic-Melodrama Family-Opposition Sacrifice Emotional Musical-Tradition"
The Dark Knight Rises,"Action, Superhero Bane Gotham-Siege Underground-Prison Catwoman Trilogy-Conclusion Epic-Noir"
Carry On Jatta,"Comedy, Punjabi Regional Canada-Immigration Opposites-Attract Airline-Job Romance-Comedy Blockbuster-Formula"
Naruto Shippuden Road To Ninja,"Anime, Shonen Action Alternate-Reality Parents-Alive Moon-Eye-Plan Personality-Swap Emotional"
Kya Super Kool Hain Hum,"Comedy, Bollywood Adult-Comedy Pet-Dog Goan-Resort Sex-Farce Slapstick-Sequel Crude-Humor"
Gangs Of Wasseypur 2,"Crime, Bollywood Coal-Mafia Illegal-Weapons Digital-Era Revenge-Epic Gritty-Drama Finale"
Powercut,"Comedy, Punjabi Regional Electricity-Department Corruption Satirical-Farce Government-System Final-Film-Director"
Joker,"Comedy, Bollywood Alien-Hoax Village-Setting Scientist Special-Effects Parody-Sci-Fi Drama"
Partysaurus Rex,"Animation, Family Bathtub-Rave Toy-Short Bath-Toys Electronic-Music Comedy"
Heroine,"Drama, Bollywood Bollywood-Industry Actress-Downfall Mental-Health Glamour-Darkside PR-Stunts Showbiz-Exposé"
Hotel Transylvania,"Animation, Family Monster-Resort Dracula Vampire-Father Human-Intruder Romance-Comedy Monster-Mash"
Oh My God!,"Comedy, Bollywood Atheist-Sues-God Natural-Disaster Religious-Commercialization Divine-Intervention Courtoom-Satire Inspiring"
English Vinglish,"Drama, Bollywood Female-Empowerment English-Learning USA-Trip Housewife-Respect Family-Values Coming-Of-Age"
Chittagong,"Drama, Bollywood Historical Uprising British-India School-Teens Freedom-Struggle Indie Revolutionary-Epic"
Student Of The Year,"Comedy, Bollywood High-School-Rivalry Rich-Brat Campus-Trophy Friendship-Breakup Romance-Musical Extravaganza"
Wreck-It Ralph,"Animation, Family Arcade-Game Retro-Gaming Sugar-Rush Glitch-Character Villain-Support-Group Identity-Adventure"
Skyfall,"Action, Spy Cyber-Terrorism MI6-Attack Bond-Backstory Childhood-Home Deconstruction-Thriller"
Son Of Sardaar,"Comedy, Bollywood Faction-Feud Hospitality-Rule House-Prison Punjabi-Action Southern-Remake Farce"
Paperman,"Animation, Short Romance Paper-Airplane Silhouette Office-Life Magical-Realism Disney-Short"
Life Of Pi,"Drama, Adventure Shipwreck Ocean-Survival Bengal-Tiger Philosophical Spiritual Visual-Masterpiece"
Khiladi 786,"Comedy, Bollywood Fake-Cop Marriage-Alliance Underworld-Families Muscle-Action Slapstick-Farce Masala"
Despicable Me: Minion Madness,"Animation, Family Short-Anthology Minion-Mishaps Supervillain-Testing Gadget-Comedy Lab-Chaos"
One Piece Z,"Anime, Shonen Action Neo-Marines Volcanic-Endstone Dynamic-Fight Pirate-Ideals Master-Student-Tragedy"
Dabangg 2,"Action, Bollywood Metro-City-Cop Robin-Hood Politician-Villain Family-Parenthood Masala-Sequel Single-Screen"
Table No 21,"Thriller, Bollywood Reality-Game-Show Live-Stream Fiji-Resort College-Ragging-Revenge Psychological Suspense-Twist"
Race 2,"Crime, Thriller Bollywood Casino-Mafia Turkey-Setting Revenge-Plot Heist-Twist Glamour-Action"
Madly Madagascar,"Animation, Family Valentine-Day Love-Potion African-Wild Safari-Romance Short-Comedy"
Special 26,"Crime, Bollywood Real-Life Heist Fake-CBI Bureau-Raids Investigation Cat-And-Mouse Period-Thriller"
Abcd: Any Body Can Dance,"Drama, Bollywood Dance-Competition Underdog-Troupe Choreographer-Rivalry Street-Dancers Hip-Hop Musical"
Singh Vs Kaur,"Comedy, Punjabi Regional Fake-Marriage NRI-Girl Village-Background Action-Romance Style-Upgrade Copy-Formula"
Kai Po Che!,"Drama, Bollywood Friendship Cricket-Academy Earthquake Political-Riots Ahmedabad-Setting Coming-Of-Age Tragedy"
Pyar Hai Drama,"Drama, Independent Experimental Romance Modern-Relationships Short Narrative"
The Attacks Of 26/11,"Crime, Bollywood Mumbai-Terrorism Docu-Drama Police-Account Real-Incident Hostage-Tragedy Gritty-Exposé"
Jolly Llb,"Comedy, Bollywood Courtroom-Satire Hit-And-Run Corrupt-Lawyer Small-Town Underdog Public-Interest-Litigation Drama"
Himmatwala,"Action, Bollywood 1980s-Parody Village-Tyrant Tiger-Fight Southern-Remake Slapstick-Masala Campy-Retro"
Daddy Cool Munde Fool,"Comedy, Punjabi Regional Two-Sons Marriage-Chaos Father-Rivalry Confused-Alliances Slapstick-Farce Romance"
Nautanki Saala!,"Comedy, Bollywood Theater-Actor Suicide-Rescue Romantic-Entanglement Farce French-Remake Friendship-Drama"
Ainye Ainye Lut Gaya,"Comedy, Punjabi Regional Wedding-Fraud Money-Scam Local-Thugs Slapstick Narrative Comedy-Drama"
Lucky Di Unlucky Story,"Comedy, Punjabi Regional Extramarital-Suspicion Friends-Trip Murder-Hoax Slapstick-Chaos Farce Mystery-Comedy"
Iron Man 3,"Action, Superhero Extremis-Virus PTSD Tony-Stark-Unpowered Mandarin-Twist House-Party-Protocol Avenger-Aftermath"
Shootout At Wadala,"Action, Crime Manya-Surve Police-Encounter Mumbai-Underworld Gangster-Rise Biopic Prequel-Epic"
Go Goa Gone,"Comedy, Bollywood Zombie-Apocalypse Russian-Mafia Drug-Trip Rave-Party Slapstick-Horror Stoner-Film"
Fast & Furious 6,"Action, Military-Convoy Cargo-Plane Tank-Highway Amnesia-Return London-Heist Team-Up Franchise-Peak"
The Garden Of Words,"Anime, Drama Romance Rainy-Season Shinjuku-Garden Teacher-Student Melancholy Visual-Poetry"
Yeh Jawaani Hai Deewani,"Drama, Bollywood Trekking-Trip Destination-Wedding Friend-Group Wanderlust Coming-Of-Age Romance-Musical"
Yamla Pagla Deewana 2,"Comedy, Bollywood UK-Setting Fake-Dons Orangutan-Sidekick Con-Artist Slapstick-Sequel Chaos-Farce"
Fukrey,"Comedy, Bollywood Delhi-Backbenchers Dream-Numbers Lottery Local-Female-Don College-Admission Slapstick-Adventure"
Man Of Steel,"Action, Superhero Krypton-Destruction General-Zod First-Flight Military-Clash Sci-Fi Origin Epic"
Monsters University,"Animation, Family College-Prequel Scare-Games Fraternity-Misfits Underdog Friendship Origin-Comedy"
World War Z,"Action, Sci-Fi Zombie-Pandemic Global-Search Fast-Zombies Israeli-Wall Laboratory-Survival Horror-Thriller"
Jatt & Juliet 2,"Comedy, Punjabi Regional Canadian-Police Immigration-Runaway Cruise-Ship Sequel Romance-Comedy Blockbuster-Misfits"
Despicable Me 2,"Animation, Family Secret-Agent Anti-Villain-League El-Macho Purple-Minions Romance-Comedy Supervillain-Sequel"
Sixteen,"Drama, Bollywood Teen-Life Cyber-Crime MMS-Scandal Lost-Innocence Coming-Of-Age Delhi-Sectors Gritty-Realism"
Bhaag Milkha Bhaag,"Drama, Bollywood Milkha-Singh-Biopic Partition-Trauma Olympic-Track Flying-Sikh Athlete-Redemption Sports-Epic"
The Conjuring,"Horror, Supernatural Haunted-House Exorcism Warren-Investigators Periodic-Setting Paranormal-Classic Terror"
The Wolverine,"Action, Superhero Japan-Setting Yakuza Clan-War Immortal-Curse Silver-Samurai Mutant-Sci-Fi"
Desi Munde,"Drama, Punjabi Regional Youth-Migration Illegal-Border-Crossing Foreign-Hardships Social-Issue Reality-Check"
Best Of Luck,"Comedy, Punjabi Regional Wrong-Delivery Local-Goon Identity-Theft Slapstick-Farce Romance Action-Comedy"
Naughty Jatts,"Comedy, Punjabi Regional Musical-Triangle Singing-Competition Three-Lovers Chaos-Farce Slapstick Family-Drama"
Chennai Express,"Comedy, Bollywood South-Indian-Village Train-Journey Tamil-Culture Muscle-Action Romance-Masala Romantic-Comedy"
Madras Cafe,"Action, Bollywood Political-Thriller Sri-Lankan-Civil-War Prime-Minister-Assassination Undercover-Intelligence War-Drama Gritty"
Jatt Airways,"Comedy, Punjabi Regional Flight-Journey Airport-Chaos Two-Couples Misunderstandings Slapstick-Farce Romance"
Shuddh Desi Romance,"Comedy, Bollywood Live-In-Relationship Commitment-Phobia Jaipur-Setting Traditional-Marriage-Runaway Social-Satire Drama"
Zanjeer,"Action, Bollywood Oil-Mafia Angry-Young-Man Honest-Cop Revenge-Remake Bilingual Masala-Action"
Grand Masti,"Comedy, Bollywood Adult-Comedy College-Revision Haunted-Mansion Sex-Farce Crude-Humor Box-Office-Hit"
The Lunchbox,"Drama, Bollywood Mumbai-Dabbawala Wrong-Delivery Letter-Exchange Loneliness Romance-Epistolary Art-House-Classic"
Phata Poster Nikhla Hero,"Comedy, Bollywood Fake-Cop Movie-Star-Aspirations Mother-Sentiment Local-Gangs Slapstick-Farce Masala-Parody"
Cloudy With A Chance Of Meatballs 2,"Animation, Family Food-Animal-Hybrids Foodimal-Island Leftovers-Return Inventor-Adventure Mad-Scientist"
Besharam,"Comedy, Bollywood Car-Thief Orphanage-Charity Cop-Parents Slapstick-Farce Action-Masala Family-Dynamics"
Assassination Classroom Jump Festa 2013 Special,"Anime, Shonen Alien-Teacher Target-Classroom School-Life Comedy-Special Prequel"
War Chhod Na Yaar,"Comedy, Bollywood War-Satire Indo-Pak-Border Soldiers-Friendship Political-Manipulations Peace-Message Drama"
Toy Story Of Terror!,"Animation, Family Road-Trip Motel-Haunting Toy-Disappearances Horror-Parody Toy-Story-Short Halloween"
Boss,"Action, Bollywood Contract-Killer Father-Estrangement Transport-Mafia Southern-Remake Muscle-Action Masala"
Krrish 3,"Action, Bollywood Superhero Mutant-Army Virus-Antidote Sci-Fi-Spectacle Villain-Kaal Sequel-Epic"
Thor: The Dark World,"Action, Superhero Dark-Elves Reality-Stone London-Convergence Portal-Fights Convergence-Sci-Fi Avenger-Sequel"
Jindra,"Drama, Punjabi Regional Rural-Feud Family-Honor Land-Disputes Traditional-Tragedy Muscle-Drama"
Ramleela,"Drama, Bollywood Shakespearean-Adaptation Gun-Running Clans Gujrat-Setting Tragic-Romance Violent-Musical-Epic"
Singh Saab The Great,"Action, Bollywood Collector-Vigilante Corruption-Fight Tax-Scam Muscle-Action Punjabi-Pride Masala-Drama"
Gori Tere Pyaar Mein,"Comedy, Bollywood Urban-Villager Culture-Clash Bridge-Construction Village-Development Romance-Comedy Social-Message"
Frozen,"Animation, Family Ice-Magic Sisterly-Love Talking-Snowman Nordic-Fantasy Disney-Princess Mega-Musical"
Bullet Raja,"Action, Bollywood UP-Mafia Political-Hitman Friendship-Betrayal Gangster-Rise Action-Thriller Gritty-Masala"
R Rajkumar,"Action, Bollywood Drug-Lord Muscle-Action Single-Screen Southern-Style Romance-Comedy Violent-Masala"
Running,"Drama, Punjabi Regional Female-Infanticide Women-Rights Village-Traditions Social-Issue Melodrama"
Dhoom 3,"Action, Bollywood Chicago-Circus Bank-Heist Double-Role Bike-Stunts Illusionist-Thriller Spectacle"
The Wolf Of Wall Street,"Crime, Comedy Biography Stock-Market Fraud Corporate-Hedonism Rise-And-Fall Dark-Satire"
Yaariyaan,"Comedy, Bollywood College-Campus Australia-Competition Friendship-Betrayal Youth-Music Coming-Of-Age Romance-Drama"
Aagye Munde Uk De,"Comedy, Punjabi Regional British-Asians Village-Traditions Marriage-Alliances Sequel Culture-Clash Romance-Comedy"
Jai Ho,"Action, Bollywood Common-Man-Chain Political-Corruption Human-Rights Social-Awakening Southern-Remake Masala-Drama"
Taut,"Drama, Punjabi Regional Social-Exploitation Middlemen Rural-Economy Hardship Narrative Drama"
Shaadi Ke Side Effects,"Comedy, Bollywood Post-Marital-Crisis False-Bachelorhood Urban-Parenting Midlife-Confusion Romance-Comedy Sequel-Concept"
Total Siyappa,"Comedy, Bollywood Indo-Pak-Romance London-Setting Family-Chaos Midnight-Farce Satirical-Comedy Cross-Border"
Kande,"Drama, Punjabi Regional Youth-Aspirations Sports-Wrestling Family-Pride Local-Politics Action-Drama"
Fateh,"Action, Punjabi Regional Martial-Arts Gatka-Tradition Underdog-Comeback Village-Pride Action-Sports Drama"
Captain America: The Winter Soldier,"Action, Superhero Political-Espionage S H I E L D-Infiltration Cyber-Terrorism Brainwashed-Assassin Marvel-Peak"
Disco Singh,"Comedy, Punjabi Regional Failed-Dancer Local-Don Fake-Affair Chaos-Farce Slapstick Bhangra-Musical"
Haveli Wale,"Drama, Punjabi Regional Ancestral-Home Family-Feud NRI-Inheritance Rural-Traditions Generational-Conflict"
Bhoothnath Returns,"Comedy, Bollywood Political-Satire Ghost-Candidate Election-Campaign Social-Reform Kids-Fantasy Sequel-Drama"
2 States,"Comedy, Bollywood Intercaste-Marriage Culture-Clash IIT-Campus Parental-Approval Romance-Drama Novel-Adaptation"
The Amazing Spider-Man 2,"Action, Superhero Electro Oscorp Goblin-Tragedy Spidey-Quips Franchise-Overload Sci-Fi"
Godzilla,"Action, Sci-Fi Giant-Monster M U T O Military-Response Creature-Feature Kaiju-Reboot disaster"
X-Men: Days Of Future Past,"Action, Superhero Time-Travel Sentinels Alternate-History Mutant-Survival Sci-Fi-Epic Mashup"
Bade Change Yaar Kamine,"Comedy, Punjabi Regional Friendship-Betrayal College-Pranks Rom-Com-Chaos Slapstick Farce"
Heropanti,"Action, Bollywood Clan-Traditions Runaway-Marriage Muscle-Action Southern-Remake Romance-Masala Debut"
Edge Of Tomorrow,"Action, Sci-Fi Time-Loop Alien-Invasion Exosuit-War Military-Strategy Mecha-Thriller Groundhog-Day"
Holiday: A Soldier Is Never Off Duty,"Action, Bollywood Sleeper-Cells Terrorist-Conspiracy Mumbai-Siege Army-Captain Counter-Terrorism Southern-Remake"
How To Train Your Dragon 2,"Animation, Family Dragon-Army Alpha-Dragon Long-Lost-Mother War-Of-Beasts Epic-Fantasy Adventure"
Bhagat Singh Di Udeek,"Drama, Punjabi Regional Modern-Revolutionary Corruption-Fight System-Critique Social-Awakening Patriotic"
Humshakals,"Comedy, Bollywood Triple-Role Mental-Asylum London-Mansion Cross-Dressing Slapstick-Disaster Ultimate-Farce"
Ek Villain,"Action, Bollywood Serial-Killer Psychological-Revenge Tragic-Romance Music-Hits Crime-Thriller Dark-Masala"
Punjab 1984,"Drama, Punjabi Regional Insurgency Mother-Son Separation Human-Rights Historic-Tragedy National-Award-Winner Epic"
Proud To Be Sikh,"Drama, Punjabi Regional Religious-Identity Moral-Values Racism-Fight Cultural-Pride Devotional Inspiring"
Transformers: Age Of Extinction,"Action, Sci-Fi Dinobots Bounty-Hunter Cyber-Tech Hong-Kong-Battle Action-Overload Specatcle"
Bobby Jasoos,"Comedy, Bollywood Female-Detective Hyderabad-Culture Family-Opposition Local-Mysteries Coming-Of-Age Warm-Comedy"
Humpty Sharma Ki Dulhania,"Comedy, Bollywood Wedding-Shopping DDLJ-Tribute Small-Town-Groom Emotional-Father Romance-Comedy Family-Values"
Dawn Of The Planet Of The Apes,"Sci-Fi, Action Ape-Civilization Human-Survival Broken-Peace Forest-War Post-Apocalyptic Philosophical"
Lucy,"Action, Sci-Fi Brain-Capacity Evolution Drug-Mule Philosophy superpower Metaphysical-Thriller"
Kick,"Action, Bollywood Adrenaline-Junkie Vigilante-Thief Policed-Chase Devil-Persona Southern-Remake Blockbuster-Masala"
Guardians Of The Galaxy,"Action, Sci-Fi Cosmic-Outlaws Infinity-Stone Retro-Soundtrack Talking-Raccoon Space-Opera Comic-Book"
Entertainment,"Comedy, Bollywood Dog-Heir Billionaire-Inheritance Golden-Retriever Slapstick-Farce Animal-Comedy Property-Feud"
Singham Returns,"Action, Bollywood Black-Money Fake-Godman Mumbai-Police Political-Thugs Masala-Sequel Police-Pride"
Waiting In The Summer In Our Last Summer Of High School We Await That Summer,"Anime, Sci-Fi Romance Life-Slice Alien-Roommate High-School-Filmmaking Melancholy OVA"
One Piece 3D2Y Overcoming Aces Death Luffys Pledge To His Friends,"Anime, Shonen Action Training-Arc Haki-Mastery World-Destroyer Special Anniversary-Movie"
Mary Kom,"Drama, Bollywood Boxing-Biopic Motherhood Sports-Comeback North-East-Representation Inspiring Nationalist"
Police In Pollywood,"Comedy, Punjabi Regional Police-Department Film-Production Chaos-Farce Slapstick-Action Department-Misfits"
Goreyan Nu Daffa Karo,"Comedy, Punjabi Regional Indo-British-Romance White-Girl-Village Visa-骗局 Culture-Clash Romance-Comedy Cross-Border"
Kirpaan: The Sword Of Honour,"Drama, Punjabi Regional Historical-Artifact Sword-Recovery Youth-Awakening Religious-History Action-Drama"
Bang Bang!,"Action, Bollywood International-Spy Kohinoor-Diamond Flight-Stunts Knight-And-Day-Remake High-Octane Action-Romance"
Haider,"Drama, Bollywood Hamlet-Adaptation Kashmir-Conflict Military-Law Insurgency Tragic-Family Classic-Cinema Tragedy"
Alexander And The Terrible Horrible No Good Very Bad Day,"Comedy, Family Worst-Day Chain-Disasters Family-Bonding Slapstick Kid-Book-Adaptation"
Whiplash,"Drama, Music Psychological"
Gone Girl,"Mystery, Thriller Psychological Drama"
Yaar Anmulle 2,"Comedy, Punjabi College Friendship Drama"
Oh My Pyo Ji,"Comedy, Punjabi Family Chaos Mistakes"
John Wick,"Action, Thriller Neo-Noir Revenge"
Happy New Year,"Action, Bollywood Heist Musical Comedy"
Cross Connection,"Comedy, Romance Drama Misunderstandings"
Super Naani,"Drama, Bollywood Family Women-Empowerment"
Chaar Sahibzaade,"Animation, Historical Religious War Epic"
Big Hero 6,"Animation, Family Superhero Sci-Fi Action"
Badlapur Boys,"Drama, Bollywood Sports Kabaddi Underdog"
Interstellar,"Sci-Fi, Space Exploration Drama Psychological"
Assassination Classroom Meeting Time,"Anime, Action Sci-Fi Comedy Short"
The Shaukeens,"Comedy, Bollywood Romance Remake Travel"
Penguins Of Madagascar,"Animation, Family Spy Action-Comedy"
Proper Patola,"Comedy, Punjabi Romance Double-Role Mistakes"
Ungli,"Drama, Bollywood Crime Vigilante Social-Issue"
Toy Story That Time Forgot,"Animation, Family Holiday Dinosaur Adventure Short"
Bhopal: A Prayer For Rain,"Drama, Historical Disaster Social-Issue Tragedy"
The Last The Naruto Movie,"Anime, Shonen Action Ninja Romance"
Night At The Museum: Secret Of The Tomb,"Comedy, Family Fantasy History Adventure-Conclusion"
Pk,"Comedy, Bollywood Satire Alien Social-Issue Romance"
Mr & Mrs 420,"Comedy, Punjabi Cross-Dressing Marital-Farce Chaos"
Dolly Ki Doli,"Comedy, Bollywood Con-Artist Romance Marriage-Fraud"
Baby,"Action, Bollywood Spy Thriller Counter-Terrorism"
Badlapur,"Crime, Thriller Action Gritty Revenge"
Frozen Fever,"Animation, Family Fantasy Musical Short"
Munde Kamal De,"Comedy, Punjabi Differently-Abled Friendship Mistakes"
Umran Ch Ki Rakhiya,"Drama, Punjabi Age-Gap Romance Family-Values"
Judge Singh Llb,"Comedy, Punjabi Courtroom Satire Drama Justice"
Furious 7,"Action, Street Racing Crime Blockbuster Revenge"
Jugadi Dot Com,"Comedy, Punjabi Con-Artist Friend Group Satire"
Joga Jogoravan Joga,"Drama, Art-House Narrative Cultural"
Avengers: Age Of Ultron,"Action, Superhero Sci-Fi Robot-Threat AI"
Piku,"Comedy, Bollywood Family Road-Trip Drama Relationships"
Shareek,"Drama, Punjabi Feudal Family-Feud Land-Dispute Epic"
Welcome To Karachi,"Comedy, Bollywood Political Satire Lost-In-Pakistan Slapstick"
Gabbar Is Back,"Action, Bollywood Vigilante Anti-Corruption Social-Justice"
Jurassic World,"Sci-Fi, Action Adventure Dinosaur-Disaster Thriller"
Inside Out,"Animation, Family Fantasy Psychological Coming-Of-Age Emotional"
Abcd 2,"Drama, Bollywood Dance-Competition Redemption Las-Vegas Tour"
Sardarji,"Comedy, Punjabi Supernatural Ghost-Hunter Fantasy Romance"
Terminator Genisys,"Sci-Fi, Action Time-Travel Cyberpunk Paradox"
Minions,"Animation, Family Prequel Slapstick Villain-Comedy"
Baahubali: The Beginning,"Action, Fantasy Period War-Epic Royal-Restoration"
Ant-Man,"Action, Superhero Sci-Fi Heist Comedy Shrinking"
Bajrangi Bhaijaan,"Drama, Bollywood Indo-Pak Relations Human-Bonding Cross-Border Journey"
Angrej,"Comedy, Punjabi Period Romance Village-Traditions Drama"
Mission: Impossible - Rogue Nation,"Action, Spy Thriller Rogue-Agent Syndicate High-Stakes"
Drishyam,"Crime, Thriller Family-Protection Cover-Up Mystery-Drama"
Boruto Naruto The Movie,"Anime, Shonen Action Next-Generation Ninja-SciFi"
Fantastic Four,"Action, Superhero Sci-Fi Origin Alternate-Dimension"
Bangistan,"Comedy, Bollywood Satire Suicide-Bomber Peace-Message"
Brothers,"Drama, Bollywood Sports MMA Family-Rivalry Estranged-Brothers"
Manjhi - The Mountain Man,"Drama, Biographical Inspirational Historical True-Story"
One Piece Episode Of Sabo Bond Of Three Brothers A Miraculous Reunion And An Inherited Will,"Anime, Shonen Action Brotherhood Remembrance Compilation"
Phantom,"Action, Bollywood Spy Counter-Terrorism Retribution Thriller"
Welcome Back,"Comedy, Bollywood Don Gangster-Family Slapstick Marriage-Farce Sequel"
Parched,"Drama, Social-Issue Women-Empowerment Rural-Life Freedom"
Hotel Transylvania 2,"Animation, Family Monster Vampire-Comedy Grandparenting"
Singh Is Bliing,"Comedy, Bollywood Masala Action Punjabi-Pride Romance"
Unindian,"Comedy, Romance Indo-Aus Culture-Clash Cross-Cultural-Drama"
22G Tussi Ghaint Ho,"Comedy, Punjabi Political Satire Common-Man Drama"
31St October,"Drama, Historical Riot-Survival Political Bio-Drama"
Riley'S First Date?,"Animation, Family Emotional Comedy Short Life-Slice"
Spectre,"Action, Spy Rogue-Agent Secret-Society Thriller Global"
Prem Ratan Dhan Payo,"Drama, Bollywood Royal-Lookalike Family-Reunion Romance Musical"
The Good Dinosaur,"Animation, Family Prehistoric Alternate-History Wilderness Adventure"
Size Zero,"Comedy, Romance Body-Positivity Social-Issue Romantic-Comedy"
Star Wars: Episode Vii - The Force Awakens,"Sci-Fi, Space Opera Franchise Resistance Awakening"
Dilwale,"Action, Bollywood Car-Action Romance Crime-Family Musical"
One Piece Adventure Of Nebulandia,"Anime, Shonen Action Island-Trap Devil-Fruit Disabling"
Kung Fu Panda: Secrets Of The Scrolls,"Animation, Family Martial-Arts Origin Story Short"
Airlift,"Drama, Historical Evacuation War True-Story Survival"
Kung Fu Panda 3,"Animation, Family Martial-Arts Biological-Father Spirit-Realm Training"
